,prod_name,positive_percentage
7,Africa's Best No-Lye Dual Conditioning Relaxer System Super,100.0
6,5302050 15/16 FCT/HOSE ADAPTOR,100.0
4,"42 Dual Drop Leaf Table with 2 Madrid Chairs""",100.0
3,"2x Ultra Era with Oxi Booster, 50fl oz",100.0
72,Craft Punch Giga Scallop Circle 45 24687534 To 334,100.0
2,2017-2018 Brownline174 Duraflex 14-Month Planner 8 1/2 X 11 Black,100.0
45,"Candy Pink Plastic Cups, 20 pk",100.0
74,Cuisinart174 Electric Juicer - Stainless Steel Cje-1000,98.05825242718447
129,L'or233al Paris Elvive Extraordinary Clay Rebalancing Conditioner - 12.6 Fl Oz,97.6068376068376
270,Yes To Grapefruit Rejuvenating Body Wash,97.43589743589743
128,Kraus FVS-1007 Single Hole Vessel Bathroom Faucet from the Ramus Collection,97.2972972972973
199,Ragu Traditional Pasta Sauce,97.2972972972973
157,My Big Fat Greek Wedding 2 (blu-Ray + Dvd + Digital),97.15568862275448
222,Sopranos:Season 6 Part 1 (blu-Ray),97.05882352941177
176,Pantene Pro-V Expert Collection Age Defy Conditioner,97.05882352941177
200,Red (special Edition) (dvdvideo),97.02380952380952
147,Meguiar's Ultimate Quik Detailer 22-Oz.,96.55172413793103
155,Mrs. Meyer's174 Lemon Verbena Laundry Scent Booster - 18oz,96.55172413793103
251,Tresemme Kertatin Smooth Infusing Conditioning,96.49122807017544
118,Jolly Time Select Premium Yellow Pop Corn,96.29629629629629
232,"Storkcraft Tuscany Glider and Ottoman, Beige Cushions, Espresso Finish",96.21212121212122
256,Vaseline Intensive Care Healthy Hands Stronger Nails,95.83333333333334
131,L'oreal Paris Advanced Hairstyle TXT IT Hyper-Fix Putty,95.65217391304348
19,"Avery174 Ready Index Contemporary Table Of Contents Divider, 1-8, Multi, Letter",95.65217391304348
96,Hawaiian Punch Berry Limeade Blast Juice,95.45454545454545
141,"Lundberg Wehani Rice, 25lb",95.14563106796116
240,The Script - No Sound Without Silence (cd),94.87179487179486
183,Planes: Fire Rescue (2 Discs) (includes Digital Copy) (blu-Ray/dvd),94.7460595446585
1,100:Complete First Season (blu-Ray),94.24460431654677
115,Jason Aldean - They Don't Know,94.11764705882352
130,L'oreal Paris Advanced Hairstyle Boost It High Lift Creation Spray,93.93939393939394
64,Clorox Disinfecting Bathroom Cleaner,93.7224129475233
187,Pleasant Hearth Diamond Fireplace Screen - Espresso,93.54838709677419
93,Godzilla 3d Includes Digital Copy Ultraviolet 3d/2d Blu-Ray/dvd,93.50375939849624
82,Eagle Fat Free Sweetened Condensed Milk,93.33333333333333
136,Leslie Sansone:Belly Blasting Walk (dvd),93.33333333333333
154,Mrs. Meyer's Lemon Verbena Surface Scrub,93.33333333333333
20,Axe Dry Anti-Perspirant Deodorant Invisible Solid Phoenix,93.22033898305084
57,Chex Muddy Buddies Brownie Supreme Snack Mix,93.10344827586206
22,"Banana Boat Sunless Summer Color Self Tanning Lotion, Light To Medium",93.05555555555556
97,Head & Shoulders Classic Clean Conditioner,93.02325581395348
65,Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,92.91983616149795
107,Hoover174 Platinum Collection153 Lightweight Bagged Upright Vacuum With Canister - Uh30010com,92.5207756232687
205,Sabre 2 Pack Door And Window Alarm,92.3076923076923
15,"Aussie Aussome Volume Shampoo, 13.5 Oz",92.13483146067416
41,"Burt's Bees Lip Shimmer, Raisin",91.98167239404353
171,Olay Regenerist Deep Hydration Regenerating Cream,91.7981072555205
71,"Coty Airspun Face Powder, Translucent Extra Coverage",91.77215189873418
264,"WeatherTech 40647 14-15 Outlander Cargo Liners Behind 2nd Row, Black",91.66666666666666
73,"Creme Of Nature Intensive Conditioning Treatment, 32",91.66666666666666
100,Heiress (dvd),91.66666666666666
230,Stargate (ws) (ultimate Edition) (director's Cut) (dvdvideo),91.39784946236558
81,Doc Mcstuffins: Friendship Is The Best Medicine,91.30434782608695
169,"Ogx Conditioner, Hydrating Teatree Mint",91.30434782608695
49,Cars Toon: Mater's Tall Tales,91.17647058823529
257,Vaseline Intensive Care Lip Therapy Cocoa Butter,91.13924050632912
242,There's Something About Mary (dvd),90.76923076923077
185,"Pleasant Hearth 1,800 sq ft Wood Burning Stove with Blower, Medium, LWS-127201",90.56603773584906
246,Tostitos Simply Blue Corn Tortilla Chips,90.47619047619048
152,Mill Creek Aloe Vera & Paba Lotion,90.0
55,Cheetos Crunchy Flamin' Hot Cheese Flavored Snacks,90.0
164,"Newman's Own Balsamic Vinaigrette, 16.0oz",90.0
76,Dark Shadows (includes Digital Copy) (ultraviolet) (dvdvideo),89.87854251012146
191,Power Crunch Protein Energy Bar Peanut Butter Creme Original,89.74358974358975
48,"Caress Moisturizing Body Bar Natural Silk, 4.75oz",89.70588235294117
39,"Bounce Dryer Sheets, Fresh Linen, 160 sheets",89.65517241379311
249,"Tree Hut Shea Body Butters, Coconut Lime, 7 oz",89.28571428571429
63,Clear Scalp & Hair Therapy Total Care Nourishing Shampoo,89.24731182795699
38,Boraam Sonoma Kitchen Cart With Wire Brush Gray - Maaya Home,88.88888888888889
113,J.a. Henckels International 4-Pc Everedge Plus Steak Knife Set,88.88888888888889
